"STATION","DATE","TAVG","TMAX","TMIN"
"AR000870470","2022-01-01","26.7",,
"AR000870470","2022-01-02","26.6","35.0",
"AR000870470","2022-01-03","26.8",,"18.9"
"AR000870470","2022-01-04","21.8","34.5","16.4"
"AR000870470","2022-01-05","21.2","28.4","16.7"
"AR000870470","2022-01-06","20.6","28.2","17.9"
"AR000870470","2022-01-07","23.0",,
"AR000870470","2022-01-08","21.7","30.4",
"AR000870470","2022-01-09","22.5",,"15.8"
"AR000870470","2022-01-10","25.2",,"19.7"
"AR000870470","2022-01-11","25.5",,
"AR000870470","2022-01-12","26.7",,
"AR000870470","2022-01-13","25.6",,
"AR000870470","2022-01-14","24.9",,"14.8"
"AR000870470","2022-01-15","24.1","33.5","15.8"
"AR000870470","2022-01-16","25.5",,
"AR000870470","2022-01-17","25.4","35.3",
"AR000870470","2022-01-18","22.8","35.5",
"AR000870470","2022-01-19","21.3","27.0","18.0"
"AR000870470","2022-01-20","22.1",,
"AR000870470","2022-01-21","25.3",,"20.0"
"AR000870470","2022-01-22","25.7",,"19.0"
"AR000870470","2022-01-23","22.1","32.5",
"AR000870470","2022-01-24","20.8","30.2","17.2"
"AR000870470","2022-01-25","22.8",,"18.4"
"AR000870470","2022-01-26","22.8",,"18.0"
"AR000870470","2022-01-27","19.3","30.6",
"AR000870470","2022-01-28","18.8",,"13.0"
"AR000870470","2022-01-29","20.9","25.3","15.8"
"AR000870470","2022-01-30","21.9",,"16.8"
"AR000870470","2022-01-31","21.3",,
"AR000870470","2022-02-01","20.8","28.8",
"AR000870470","2022-02-02","21.4",,"13.8"
"AR000870470","2022-02-03","22.0","29.6",
"AR000870470","2022-02-04","22.2",,"18.6"
"AR000870470","2022-02-05","19.8","29.0","15.9"
"AR000870470","2022-02-06","16.1","26.0",
"AR000870470","2022-02-07","17.3",,"12.4"
"AR000870470","2022-02-08","19.6",,"14.5"
"AR000870470","2022-02-09","20.6",,"15.9"
"AR000870470","2022-02-10","20.3",,
"AR000870470","2022-02-11","21.5",,
"AR000870470","2022-02-12","16.3","29.2",
