"STATION","DATE","TAVG","TMAX","TMIN"
"ARM00087938","2022-01-01","9.1",,"5.4"
"ARM00087938","2022-01-02","5.7","13.3","4.0"
"ARM00087938","2022-01-03","6.3",,"4.0"
"ARM00087938","2022-01-04","5.7","10.0","3.8"
"ARM00087938","2022-01-05","8.1",,
"ARM00087938","2022-01-06","10.1",,"5.5"
"ARM00087938","2022-01-07","10.1","14.4","4.0"
"ARM00087938","2022-01-08","9.8","13.5","7.0"
"ARM00087938","2022-01-09","7.7","12.0","5.0"
"ARM00087938","2022-01-10","8.4","12.0",
"ARM00087938","2022-01-11","5.8","12.0","2.0"
"ARM00087938","2022-01-12","8.8",,"4.0"
"ARM00087938","2022-01-13","8.8",,"4.0"
"ARM00087938","2022-01-14","7.6","13.0","3.0"
"ARM00087938","2022-01-15","5.7","10.5","3.8"
"ARM00087938","2022-01-16","4.9","7.8","3.6"
"ARM00087938","2022-01-17","5.7",,"3.0"
"ARM00087938","2022-01-18","10.4",,"5.0"
"ARM00087938","2022-01-19","9.7","14.0","7.0"
"ARM00087938","2022-01-20","15.2",,"6.5"
"ARM00087938","2022-01-21","14.4","24.2","9.6"
"ARM00087938","2022-01-22","10.1","19.4",
"ARM00087938","2022-01-23","10.3",,"7.5"
"ARM00087938","2022-01-24","9.1","15.9",
"ARM00087938","2022-01-25","6.0","12.0","5.0"
"ARM00087938","2022-01-26","8.9",,"5.0"
"ARM00087938","2022-01-27","10.0","12.0","8.5"
"ARM00087938","2022-01-28","12.6",,
"ARM00087938","2022-01-29","12.0","18.0",
"ARM00087938","2022-01-30","7.4","16.0","6.0"
"ARM00087938","2022-01-31","7.6",,"5.0"
"ARM00087938","2022-02-01","5.4","10.0","4.0"
"ARM00087938","2022-02-02","6.5",,"4.0"
"ARM00087938","2022-02-03","6.4","9.0","3.5"
"ARM00087938","2022-02-04","7.8",,"2.5"
"ARM00087938","2022-02-05","11.9",,"4.0"
"ARM00087938","2022-02-06","11.3",,"6.0"
"ARM00087938","2022-02-07","18.9",,"9.4"
"ARM00087938","2022-02-08","11.0","23.0","8.0"
"ARM00087938","2022-02-09","10.2",,"7.5"
"ARM00087938","2022-02-10","8.1","14.7","7.0"
"ARM00087938","2022-02-11","9.4",,"6.0"
"ARM00087938","2022-02-12","9.7","14.0","7.9"
